case number,case detail,time of fir,no of suspects,progress,police station numbers
Vce0A,Assault in a public place,2019-05-14 22:29:42,6,pending,68080255
QBAuJ,Kidnapping,2021-07-08 04:01:56,5,pending,40967526
f2EG7,Drug trafficking,2020-08-20 12:51:13,5,closed,48156801
ypRmO,Vandalism in a park,2020-07-17 20:53:21,9,pending,57812285
sXlyK,Environmental crime,2019-07-09 00:54:40,5,pending,87635651
cBqY8,Domestic violence,2019-07-28 06:56:34,9,closed,53801671
khDPy,Cybercrime,2021-07-28 15:16:18,1,closed,37528498
dcldG,Stalking,2019-04-28 11:48:29,3,pending,72056533
CZD1u,Identity theft,2020-03-23 03:35:04,1,closed,50290357
w5C82,Human trafficking,2021-09-06 12:08:42,6,closed,31353901
0g4pX,Arson,2022-10-09 13:19:10,6,pending,82471609
dDQIT,Public disturbance,2020-08-29 13:33:43,10,closed,16701758
Fg3oc,Drug trafficking,2021-11-15 00:50:49,9,closed,43707865
0ojh6,Drug trafficking,2021-02-01 13:30:47,6,closed,07388824
ZBSAz,Public disturbance,2019-08-22 13:13:05,5,pending,92717997
0ovtn,Identity theft,2020-05-17 21:00:00,6,pending,57377805
4w2Y7,Arson,2020-12-10 06:14:44,5,closed,88168367
mg6ON,Trespassing,2020-06-25 11:53:57,10,closed,72538303
t2cSL,Arson,2019-03-01 07:59:29,5,closed,62939172
SCWJ6,Drug trafficking,2020-10-12 04:10:11,7,pending,67791299
LvEIG,Domestic violence,2021-11-08 04:29:49,5,pending,65855386
nOjDN,Cybercrime,2021-08-08 07:39:06,8,closed,50719783
OJP4a,Assault on an officer,2021-03-23 09:39:20,1,pending,05014963
N5GGK,Domestic violence,2019-06-27 06:57:35,1,pending,43021176
sDpvi,Arson,2021-08-29 11:33:15,5,pending,81030680
I0LZw,Homicide,2020-07-04 20:50:44,10,pending,48718224
nLkJv,Trespassing,2022-11-30 15:10:50,3,pending,45873389
SnDQO,Cybercrime,2019-08-25 11:42:41,10,closed,62027390
DgdrD,Car theft,2021-08-08 16:02:32,8,pending,22455042
Ed6su,Stalking,2020-06-17 01:05:49,4,closed,51880776
kBWm7,Vandalism in a park,2020-07-29 19:07:20,1,pending,31670157
7RnT4,Homicide,2022-04-07 01:01:03,2,closed,90971958
83OJq,Child abuse,2020-09-03 10:48:45,3,pending,08362009
hzFw5,Environmental crime,2021-08-26 04:13:38,3,pending,06888208
bgFi4,Trespassing,2021-04-12 10:53:49,5,closed,32320388
AhrMa,Arson,2020-09-09 10:40:31,3,closed,96606484
3QL9F,Car theft,2022-05-13 12:22:54,10,closed,22402051
hBHUT,Assault in a public place,2022-07-12 14:04:16,1,closed,49223259
yy1cu,Domestic violence,2019-08-22 15:10:52,5,pending,08904465
aNPpB,Stalking,2022-01-19 00:44:54,1,closed,93644311
MXEOT,Human trafficking,2021-09-15 04:10:31,7,pending,87699806
zq6kY,Forgery and fraud,2021-09-27 05:30:28,9,closed,39860319
bkEMN,Homicide,2020-06-26 02:59:39,7,pending,51905649
Nlcua,Robbery at a convenience store,2020-04-14 09:27:10,2,pending,47825876
dwAYF,Assault on an officer,2021-06-20 04:22:51,3,pending,26999546
XQIXn,Public disturbance,2021-12-09 06:11:45,10,pending,67650817
knzLq,Identity theft,2021-02-03 09:47:27,9,pending,11077289
ZgHVH,Assault in a public place,2021-02-08 18:28:19,7,pending,83836730
SNC46,Drug trafficking,2022-10-05 03:29:44,7,pending,48326370
JBJNk,Environmental crime,2022-12-03 18:13:18,1,pending,34345795
gM8g4,Shoplifting at a mall,2019-05-01 12:43:28,2,closed,74291619
xtyr4,Vandalism in a park,2020-09-13 16:42:06,3,pending,82084647
3QVec,Assault on an officer,2019-11-28 10:02:22,6,pending,92615969
1WTLp,Homicide,2019-10-16 21:54:54,4,pending,44543317
r4Y7S,Identity theft,2019-05-24 10:20:07,5,pending,52613164
US8KA,Vandalism in a park,2019-03-29 19:44:38,6,pending,96641912
9iIS1,Public disturbance,2020-03-29 19:55:30,8,closed,99567665
unnte,Homicide,2019-08-14 01:10:40,10,pending,07767965
AHuvx,Human trafficking,2020-09-27 02:51:37,8,closed,22486483
4rPmE,Identity theft,2021-02-06 06:22:39,3,pending,26302407
Lpst3,Environmental crime,2019-04-22 19:59:50,6,closed,36107933
tvXt1,Assault in a public place,2019-01-16 10:29:09,9,closed,34339303
1735K,Assault on an officer,2022-11-29 01:53:54,2,pending,30451316
kSM9e,Shoplifting at a mall,2019-01-23 09:43:25,3,closed,11266733
20G5E,Shoplifting at a mall,2021-07-07 16:47:08,5,pending,41315081
WfCcL,Robbery at a convenience store,2021-07-12 02:06:15,1,closed,55325224
aZey3,Vandalism in a park,2020-09-17 19:08:17,6,closed,14114530
GMxj9,Environmental crime,2019-10-09 10:30:07,5,closed,08730026
TN7vA,Public disturbance,2019-01-21 10:21:57,7,closed,49895317
Oq3uz,Public disturbance,2019-06-19 06:40:46,7,pending,94585938
bGzGs,Forgery and fraud,2021-11-11 15:32:47,6,pending,03573892
3FQP6,Shoplifting at a mall,2022-05-09 02:07:53,6,pending,93111999
hH6G5,Human trafficking,2022-09-20 20:51:37,6,pending,98513891
LRZHN,Drug trafficking,2022-05-05 08:28:16,3,pending,02394730
UWwha,Assault in a public place,2022-08-19 02:25:21,4,pending,14233456
ezrpO,Homicide,2019-09-11 10:58:09,8,pending,17199002
yaSP1,Burglary in a residential area,2020-09-14 00:47:39,8,closed,45428694
Becdi,Burglary in a residential area,2019-07-01 14:27:55,3,pending,33537268
I9wW6,Car theft,2020-02-16 12:17:04,8,pending,90787143
ZWLoD,Homicide,2022-07-02 12:22:02,2,closed,55061428
X032I,Public disturbance,2021-03-03 14:02:18,5,pending,91372443
LDa5w,Shoplifting at a mall,2019-05-11 07:42:05,1,closed,37415969
u3alM,Environmental crime,2022-04-01 19:06:48,6,closed,84239397
WBs37,Forgery and fraud,2022-01-02 20:20:18,3,pending,95045510
bnr6T,Drug trafficking,2022-07-20 11:27:48,8,pending,91129043
GTxva,Assault in a public place,2019-06-04 14:07:04,6,pending,63047039
WNK6z,Robbery at a convenience store,2022-09-04 21:38:15,2,pending,87666741
yamFs,Assault in a public place,2022-08-14 07:49:39,9,closed,52426035
ThHZk,Public disturbance,2022-11-25 11:41:32,2,closed,00294703
fZmvl,Kidnapping,2021-10-24 03:55:30,4,closed,85352768
hH2On,Identity theft,2022-08-31 06:37:35,3,closed,17958391
1trR9,Stalking,2021-05-24 02:23:58,1,closed,51283070
dBaPc,Domestic violence,2020-10-29 06:14:04,5,closed,60343631
4nxSM,Identity theft,2021-08-06 10:59:03,4,pending,50294926
J8Xaz,Arson,2020-10-25 20:37:36,3,closed,35034588
TdmBf,Car theft,2019-10-31 18:37:20,3,pending,50512671
TYupH,Arson,2019-11-09 01:05:30,7,pending,08865002
ycSPi,Stalking,2022-01-17 22:51:25,3,pending,98869871
aWB7f,Trespassing,2020-03-03 16:16:59,5,pending,89039627
5dWAb,Human trafficking,2022-04-09 03:02:49,5,pending,19609336
clT0y,Homicide,2021-12-07 15:53:14,5,closed,39920603
9hbH1,Stalking,2020-09-13 12:44:50,4,pending,93764826
RB2Zk,Public disturbance,2022-11-26 01:04:39,2,closed,78811868
jM7RU,Stalking,2021-11-13 02:27:44,3,pending,88525802
rD4Yl,Trespassing,2020-07-25 17:12:45,9,closed,17274604
aLrbX,Burglary in a residential area,2019-08-22 08:26:11,4,closed,84103107
Wk9gf,Identity theft,2022-01-24 15:47:46,7,closed,55235346
PtjRa,Shoplifting at a mall,2022-02-18 14:27:51,6,pending,61676163
ukcOV,Domestic violence,2020-03-14 08:49:39,9,closed,06829745
mKIyq,Drug trafficking,2022-07-22 21:17:24,5,pending,02528484
iAgtL,Trespassing,2022-01-19 10:59:38,10,closed,98850283
vHTgA,Kidnapping,2022-09-18 14:00:06,6,closed,88148514
KFHQh,Public disturbance,2020-07-05 08:42:13,8,closed,14302101
26Y3K,Arson,2019-12-10 10:00:10,4,pending,54138998
DK7aA,Assault on an officer,2019-07-13 00:53:50,6,pending,81781646
jXo80,Trespassing,2019-03-17 22:19:53,2,closed,06302276
lC2sO,Stalking,2020-10-01 12:33:44,2,closed,34485088
DB1DG,Shoplifting at a mall,2020-06-22 05:10:47,2,closed,99907744
aUXzg,Shoplifting at a mall,2019-07-10 22:26:35,3,closed,28769891
3Jfjy,Child abuse,2021-02-19 19:33:45,1,pending,59215420
YsLWl,Drug trafficking,2022-02-26 20:14:00,4,pending,65596059
2rwGn,Trespassing,2022-01-30 05:35:26,8,pending,03785343
dnOCE,Assault in a public place,2019-09-02 23:04:44,7,closed,83698629
NSdLc,Human trafficking,2021-02-08 00:20:42,5,pending,60991248
rv8m0,Drug trafficking,2021-12-19 19:50:45,2,pending,34920410
j5RPC,Child abuse,2022-04-01 02:40:48,10,pending,68028033
jSCM1,Environmental crime,2021-06-07 20:38:14,7,pending,55266851
BTJQD,Kidnapping,2022-03-14 22:49:32,8,closed,63547300
sAcHh,Shoplifting at a mall,2022-01-30 00:35:05,4,pending,07276936
FZ0M7,Identity theft,2022-01-11 22:21:17,1,pending,70458828
xbTn6,Assault on an officer,2021-10-05 11:56:06,10,pending,09188581
GHZgw,Robbery at a convenience store,2022-01-18 20:09:52,1,closed,85939280
LRUF8,Public disturbance,2022-09-19 06:21:54,3,pending,11675220
k4vEi,Assault on an officer,2020-06-19 05:16:18,2,closed,64273896
yGyUm,Assault in a public place,2019-12-13 06:29:54,9,pending,18224548
JBSsW,Forgery and fraud,2020-12-10 23:55:54,7,pending,19016148
X20Et,Car theft,2022-03-04 04:14:20,9,closed,87306255
wMC6M,Robbery at a convenience store,2022-11-09 14:28:56,9,closed,46213712
myMUC,Domestic violence,2021-12-21 13:56:42,2,closed,52412145
UUmRz,Trespassing,2021-07-07 19:41:38,6,closed,08822245
oRgAn,Cybercrime,2022-05-02 17:29:47,3,pending,37091561
mNQMB,Homicide,2022-05-01 20:20:34,7,closed,78178928
MCQTT,Arson,2022-09-04 08:42:56,8,closed,15032119
kTguC,Assault on an officer,2022-07-03 11:58:14,4,closed,96323171
zyRJP,Domestic violence,2019-12-16 09:32:39,2,closed,11210328
ALd2e,Human trafficking,2020-08-30 14:38:35,1,closed,29710215
isye6,Assault on an officer,2020-10-13 06:09:08,1,closed,21488767
2RsQX,Homicide,2022-04-03 21:48:14,1,pending,67052190
mMwuJ,Trespassing,2022-03-10 01:39:33,8,pending,41709031
JYRN8,Environmental crime,2019-06-02 03:15:02,6,closed,50016822
uw8LW,Cybercrime,2019-01-18 02:53:16,3,closed,31155746
64YYO,Robbery at a convenience store,2022-02-03 07:53:58,8,pending,19590759
AiD9p,Cybercrime,2019-02-12 07:43:02,10,closed,71954917
J77hW,Drug trafficking,2022-04-07 16:37:12,1,pending,67548344
PuBr7,Identity theft,2021-04-14 12:49:24,3,closed,90497176
bW5kU,Car theft,2020-10-21 08:50:26,7,pending,63179637
DI6Jw,Domestic violence,2021-03-07 11:14:00,3,closed,89113183
kM7Gs,Environmental crime,2019-03-19 15:56:18,3,pending,30176200
cLvFa,Car theft,2021-02-03 04:27:21,9,closed,42980564
lWqj0,Forgery and fraud,2021-12-19 21:54:49,10,pending,74398534
KNmE8,Trespassing,2020-12-13 13:26:16,6,pending,58732383
dD3cA,Stalking,2019-10-07 05:40:25,6,closed,08834389
e11Jb,Human trafficking,2021-07-06 17:54:57,8,closed,93482764
DvxGl,Car theft,2019-12-09 07:26:40,2,pending,63063285
GBW4j,Public disturbance,2022-02-23 15:19:53,5,closed,59656606
CjLdw,Assault in a public place,2021-12-11 11:30:27,10,closed,81576944
ZEphc,Cybercrime,2020-09-17 16:26:41,2,pending,74427274
HLM0g,Child abuse,2021-09-27 21:20:16,5,closed,30309659
ZRl4X,Assault on an officer,2022-07-21 10:02:29,10,closed,36300349
Xxssx,Environmental crime,2019-02-19 17:03:05,9,closed,76299214
558oj,Burglary in a residential area,2022-12-05 16:35:28,3,pending,69091937
0yIge,Child abuse,2020-06-02 14:02:37,1,pending,94509459
FdG7t,Drug trafficking,2021-01-28 22:43:00,4,closed,98250653
Yyipx,Burglary in a residential area,2019-08-15 18:32:37,6,pending,73550249
jOH4e,Cybercrime,2019-07-21 07:46:54,6,closed,86305116
2SXEI,Kidnapping,2020-06-25 06:57:32,9,pending,79486038
iHcWm,Drug trafficking,2021-02-06 22:29:12,3,closed,43806758
ONGaj,Kidnapping,2020-03-22 13:25:45,10,pending,74987376
g6iAv,Child abuse,2019-10-17 05:40:50,6,closed,83419491
PvsV7,Cybercrime,2022-11-19 22:07:20,3,pending,03080866
pDH1q,Stalking,2021-06-08 19:51:14,3,closed,80757490
XWfoY,Assault in a public place,2021-10-09 17:37:33,3,pending,47643503
AEv07,Public disturbance,2022-03-20 01:33:53,9,pending,42535732
so6G1,Shoplifting at a mall,2022-10-07 16:39:00,3,pending,41920443
r6UHu,Public disturbance,2022-01-02 03:11:07,3,closed,95476069
xmVpO,Child abuse,2022-05-19 13:32:25,8,pending,09164637
yMNEF,Identity theft,2020-11-27 04:07:32,6,closed,21675533
Mbc6n,Assault on an officer,2019-01-26 08:55:23,2,closed,62853767
Fo6mK,Drug trafficking,2020-04-21 13:40:09,1,closed,07081021
AUVxU,Trespassing,2020-07-08 13:18:55,4,closed,26444095
BUw1U,Identity theft,2022-03-22 21:18:28,5,pending,45979565
FmXdU,Forgery and fraud,2021-12-16 20:23:07,8,closed,60203927
AeTyK,Assault on an officer,2020-07-06 08:35:15,5,closed,49942972
guvWV,Trespassing,2022-01-16 10:41:58,7,closed,35896117
TqF3q,Child abuse,2020-07-12 10:37:53,10,closed,91378130
L40AZ,Cybercrime,2022-08-28 03:37:07,7,closed,46958691
GqOhn,Child abuse,2022-12-31 18:58:06,5,pending,06712677
G1u2I,Drug trafficking,2019-10-30 18:56:12,5,closed,42467064
bYwLz,Trespassing,2020-03-23 21:07:17,9,closed,22847944
Vx1t2,Stalking,2021-02-08 22:29:21,1,closed,14703091
Pzz3Z,Child abuse,2022-12-30 00:26:16,1,closed,10778318
0LfrB,Assault in a public place,2020-07-20 09:39:55,10,closed,73422946
f3Hkr,Trespassing,2019-12-20 03:51:08,5,closed,04851744
BpDnY,Kidnapping,2019-09-24 16:49:09,6,pending,00910412
dU5Gh,Public disturbance,2021-08-23 04:51:01,2,pending,66226374
ySodc,Human trafficking,2022-01-07 22:21:38,2,pending,66741040
ESRwz,Robbery at a convenience store,2019-12-10 11:28:25,1,pending,90262561
wjmIq,Environmental crime,2022-05-05 17:21:23,9,closed,01916075
LaXiI,Assault in a public place,2022-03-11 15:55:22,7,pending,66560238
TbjZG,Robbery at a convenience store,2022-05-25 21:46:46,1,closed,19621187
OvtNU,Arson,2021-08-05 08:28:00,9,pending,61146523
6DPY6,Forgery and fraud,2021-06-11 15:29:05,1,closed,55037370
ilQDJ,Shoplifting at a mall,2020-03-11 11:48:48,5,closed,87414383
qwujz,Cybercrime,2021-01-10 09:03:14,9,pending,52002828
mbwc3,Forgery and fraud,2020-05-10 02:26:45,6,pending,14250981
Cpwi3,Burglary in a residential area,2020-04-20 13:12:46,9,closed,65225078
hj4Li,Public disturbance,2022-09-05 19:27:30,2,pending,58128358
riu8M,Forgery and fraud,2020-04-06 23:34:17,8,closed,86873007
zHZbF,Domestic violence,2020-06-04 11:36:35,2,closed,63394179
jIcOD,Arson,2020-04-19 21:59:05,10,pending,49960845
hmV0D,Car theft,2021-07-06 21:45:54,3,pending,84754469
yI8is,Forgery and fraud,2020-07-07 09:38:50,8,closed,19268871
jDsPp,Stalking,2020-07-31 14:05:53,3,pending,94140320
cIB5g,Drug trafficking,2019-05-08 09:12:45,5,closed,59587556
sInkY,Stalking,2019-07-23 20:22:39,1,closed,13897862
Lqfot,Identity theft,2019-10-19 07:21:45,2,closed,06031769
HuHxx,Arson,2020-02-26 20:22:39,10,closed,44850578
jauWW,Vandalism in a park,2022-05-11 02:01:32,9,closed,65418457
83JSf,Drug trafficking,2022-06-01 17:46:07,1,closed,44716458
9h7jj,Arson,2020-04-16 20:16:47,4,closed,60045465
sEjjP,Domestic violence,2022-01-28 19:43:41,2,pending,83393972
mzioq,Burglary in a residential area,2021-11-16 18:29:54,6,pending,47737440
X6EZn,Homicide,2022-01-06 16:23:05,7,closed,33965388
VwqtB,Public disturbance,2019-06-07 14:04:26,6,pending,61927618
WToPQ,Domestic violence,2019-07-13 02:41:13,9,closed,57590757
VafJl,Robbery at a convenience store,2022-11-12 02:27:34,1,closed,28589275
ycHta,Environmental crime,2020-08-09 12:03:52,2,pending,63742474
Uh06K,Human trafficking,2020-09-15 00:29:22,3,closed,53326737
4RwKP,Stalking,2021-12-20 10:29:42,8,pending,96837027
DdaLr,Public disturbance,2019-09-11 23:56:12,10,closed,54752649
7t0hG,Cybercrime,2019-11-14 07:52:19,4,closed,15481013
JUxVy,Domestic violence,2019-05-16 17:28:37,9,closed,22309077
BfGuz,Shoplifting at a mall,2019-05-27 03:53:16,5,pending,54976833
v5qn7,Cybercrime,2022-11-11 15:14:31,7,pending,80135199
u6dUq,Environmental crime,2019-03-31 07:47:33,7,closed,70939383
9raTB,Identity theft,2021-11-01 22:03:52,5,pending,70759936
wxhTG,Environmental crime,2020-03-18 13:50:58,7,closed,88508530
o629U,Drug trafficking,2019-11-17 23:47:25,2,closed,99467523
pREsE,Kidnapping,2021-04-17 04:37:23,1,pending,84860811
jKFOD,Domestic violence,2019-11-06 09:21:59,1,pending,51395064
XCtHo,Robbery at a convenience store,2020-04-17 09:26:12,3,pending,26220404
KE9Jj,Robbery at a convenience store,2021-03-20 00:41:42,2,pending,74792064
t5m1Y,Environmental crime,2021-03-05 06:23:12,10,closed,21687736
sDQIF,Identity theft,2020-01-25 10:36:40,6,closed,67774015
8sLlL,Trespassing,2021-05-22 04:32:49,4,closed,74797735
cZR7f,Cybercrime,2022-06-20 11:46:11,7,pending,28942809
NjdQg,Robbery at a convenience store,2019-03-05 07:36:34,3,closed,06337862
hLIMK,Shoplifting at a mall,2022-01-28 03:54:49,10,pending,44237366
hm0RW,Car theft,2022-07-30 14:00:56,3,closed,63021497
YPo8I,Arson,2020-07-26 09:12:14,5,closed,16049985
YN4Vm,Shoplifting at a mall,2020-10-29 00:53:12,6,closed,06560940
lB928,Assault in a public place,2022-04-14 09:58:00,10,pending,63758715
ezlAA,Homicide,2020-08-17 10:19:58,4,closed,10064735
V48OY,Trespassing,2022-01-22 21:18:34,8,closed,64950688
T4ztJ,Trespassing,2019-10-16 20:38:09,6,pending,66997576
rNKtA,Burglary in a residential area,2020-04-07 18:28:20,3,closed,97563491
RVOim,Trespassing,2021-01-17 22:00:24,10,pending,56248616
bwDgl,Environmental crime,2020-10-25 00:46:39,8,pending,78465601
RWL9V,Domestic violence,2020-05-14 16:54:47,5,pending,27426213
zLvHJ,Child abuse,2019-08-06 21:19:19,6,closed,00238475
3Vw74,Burglary in a residential area,2022-08-13 10:31:18,9,closed,19016622
Nhn0u,Homicide,2021-04-01 20:15:49,9,closed,67417485
jjYub,Domestic violence,2022-05-10 19:13:32,7,closed,05755793
lLGkm,Car theft,2019-06-26 06:25:19,9,closed,98011397
jNQsE,Domestic violence,2021-02-16 04:49:32,2,pending,48825452
FWnPP,Arson,2021-02-19 18:09:34,4,closed,45739287
ZFBaU,Arson,2019-03-06 00:04:48,7,pending,98496561
NgIxE,Shoplifting at a mall,2020-05-20 20:29:48,7,closed,97633625
lIGVx,Trespassing,2020-07-16 17:16:11,7,closed,90692151
eR4l9,Vandalism in a park,2022-06-20 11:06:02,7,pending,30668281
EDNpl,Kidnapping,2020-11-02 16:45:59,5,pending,66836102
E3b9j,Forgery and fraud,2022-02-19 02:57:19,3,closed,64062047
8kSic,Arson,2019-03-13 17:21:27,1,closed,98572001
Fg7A3,Forgery and fraud,2022-10-19 09:51:48,4,pending,33335415
FhqLc,Assault on an officer,2019-02-09 07:10:54,3,pending,66800124
KRVFv,Cybercrime,2022-06-17 02:42:49,6,pending,46755493
8oUU6,Trespassing,2022-09-02 19:41:08,3,closed,30503942
Xr5Ur,Robbery at a convenience store,2022-04-21 16:06:14,6,closed,44644041
8IN2u,Drug trafficking,2022-04-28 02:20:22,7,pending,43178199
ePaml,Forgery and fraud,2019-06-25 15:29:23,1,pending,51492910
MBWZS,Car theft,2021-07-18 20:04:14,4,pending,81790430
cRmZm,Assault on an officer,2020-01-03 01:38:09,10,pending,11989202
QIYBg,Vandalism in a park,2022-07-21 23:39:14,8,pending,66248702
XvA6A,Robbery at a convenience store,2021-10-09 04:08:39,4,closed,39775634
VyBpx,Homicide,2021-09-10 06:01:55,2,pending,35376176
5577s,Assault in a public place,2020-09-22 05:48:29,2,closed,77715188
2RPAj,Arson,2020-07-24 07:00:20,7,pending,23304131
yxkaL,Assault on an officer,2022-11-13 18:35:44,5,pending,90964396
2aI0U,Burglary in a residential area,2021-05-23 18:43:35,8,pending,31955304
HLl3V,Shoplifting at a mall,2022-03-02 14:50:35,2,closed,73878706
b4rdy,Homicide,2020-12-04 10:41:59,7,closed,94339686
SxZzA,Drug trafficking,2021-01-12 01:51:04,5,closed,37979538
GOSnl,Shoplifting at a mall,2019-03-09 13:07:15,10,closed,39313351
1bLUG,Shoplifting at a mall,2022-07-11 04:44:14,5,pending,39409450
vGfXZ,Vandalism in a park,2022-01-30 10:58:58,10,closed,73687236
G8EHe,Forgery and fraud,2019-04-04 02:06:15,7,closed,42751197
R3Vm9,Domestic violence,2019-09-30 19:16:16,4,closed,21433802
lVCwl,Identity theft,2020-03-02 20:37:56,5,closed,65105299
tu4ht,Kidnapping,2021-07-08 23:42:03,10,pending,96487313
BOgD1,Trespassing,2022-05-09 08:07:08,4,closed,89842630
kJ9Qx,Drug trafficking,2022-01-20 17:47:08,8,closed,43438417
736VR,Shoplifting at a mall,2021-03-13 11:23:22,6,closed,56178802
yaIQF,Drug trafficking,2020-04-08 14:09:30,9,pending,92977062
sd5Z2,Assault on an officer,2019-03-26 21:57:16,2,pending,96486433
GJMud,Stalking,2022-01-24 21:59:45,7,closed,95592714
3DKwD,Public disturbance,2019-03-06 14:11:33,6,closed,32932011
aGgI6,Child abuse,2021-06-07 18:27:19,8,closed,06008979
ezTUm,Environmental crime,2022-06-08 12:25:19,4,closed,52280537
yXEMV,Homicide,2021-05-26 14:45:14,7,closed,25348055
m8Y3A,Arson,2021-10-31 10:04:45,6,closed,14266780
bZKZL,Kidnapping,2022-02-04 17:08:30,8,pending,76540838
TR6nn,Forgery and fraud,2021-05-05 04:21:44,3,closed,79849817
BWN84,Car theft,2019-09-11 03:59:50,9,pending,32847236
QETjR,Cybercrime,2019-10-21 20:47:51,10,closed,07170890
FbHOT,Assault on an officer,2019-04-11 11:28:45,9,closed,62891772
g5olX,Domestic violence,2022-03-14 08:29:26,5,closed,82688141
rJp5V,Shoplifting at a mall,2020-12-30 04:52:26,7,closed,18954072
byk49,Forgery and fraud,2022-05-29 01:40:53,10,pending,48027380
MM6dO,Robbery at a convenience store,2022-09-06 21:48:28,8,closed,02890031
WCSF3,Stalking,2019-12-20 00:19:49,5,pending,11749701
b1D3U,Kidnapping,2022-12-05 22:23:12,2,pending,88704090
253a4,Stalking,2020-10-05 03:44:41,6,pending,16622915
bCW1t,Vandalism in a park,2021-02-03 19:07:50,3,closed,61229691
2VNk5,Kidnapping,2022-11-12 01:24:12,3,closed,36149420
sHVnA,Shoplifting at a mall,2022-11-06 01:52:19,1,closed,90077574
FWarA,Arson,2020-08-23 07:01:06,4,closed,60870769
Zh3Ev,Shoplifting at a mall,2019-07-27 04:03:02,9,closed,76824293
bqU4B,Public disturbance,2021-02-17 23:59:26,7,closed,75237624
2PGka,Identity theft,2021-06-06 16:16:30,10,pending,92515488
k9LOl,Arson,2020-05-22 11:12:43,6,pending,23509640
Bcd99,Car theft,2019-03-11 13:04:51,5,closed,24861705
moUPU,Human trafficking,2019-09-08 21:11:32,3,pending,83988391
oniuB,Car theft,2021-02-02 15:30:31,5,closed,69754358
gV6hj,Human trafficking,2021-12-01 23:36:54,5,pending,50096470
Z5cpk,Identity theft,2020-08-09 08:40:39,5,closed,33894561
5Crk9,Robbery at a convenience store,2021-03-15 10:20:59,8,pending,84606547
4Gwe7,Burglary in a residential area,2020-01-17 15:47:06,2,closed,49349768
Ssilv,Vandalism in a park,2019-06-04 02:05:31,5,pending,64680227
FYSG2,Cybercrime,2020-04-23 15:57:37,9,pending,61436067
yeQWl,Environmental crime,2020-12-25 02:47:41,1,pending,08729786
9cEFi,Car theft,2020-02-28 21:19:57,9,pending,82218713
MW8Rm,Burglary in a residential area,2020-11-30 02:57:41,5,closed,45805869
LF8r9,Arson,2022-12-21 00:12:29,7,closed,14864572
e1Vgp,Drug trafficking,2019-05-30 13:25:52,7,closed,63336033
repwn,Burglary in a residential area,2022-07-20 12:45:10,1,pending,93931841
uCivj,Homicide,2020-11-22 13:06:37,9,pending,51401433
bQ9PZ,Domestic violence,2021-09-29 23:19:08,9,pending,76718606
Uslfc,Cybercrime,2019-04-17 03:57:04,10,pending,92346808
bbsy0,Forgery and fraud,2022-04-26 04:42:52,3,closed,66249656
sPAxC,Human trafficking,2019-04-25 04:44:58,2,pending,95256392
XWCgm,Arson,2019-09-05 23:05:44,4,pending,64791749
m7pek,Assault in a public place,2022-07-30 17:29:30,4,pending,95999573
mKuts,Human trafficking,2022-01-01 20:35:07,10,closed,25662068
CzrGg,Human trafficking,2021-02-24 15:55:00,9,pending,17033789
Id4K7,Car theft,2022-02-13 21:33:57,2,closed,90307630
Ewg9b,Identity theft,2019-02-11 17:44:25,5,closed,79788555
nGkTG,Stalking,2019-04-18 18:41:16,6,pending,53823790
wDSxk,Burglary in a residential area,2022-12-07 08:51:21,6,pending,55285304
YiKGQ,Homicide,2019-10-06 21:28:07,7,pending,45857215
fjJTK,Forgery and fraud,2022-06-03 05:55:38,2,pending,02625385
SqD6o,Public disturbance,2022-11-27 23:29:24,4,pending,50025534
nr9wb,Kidnapping,2019-11-03 01:33:54,9,pending,20386122
MpUFF,Trespassing,2020-04-07 17:59:20,9,pending,33854766
FnP9W,Assault on an officer,2019-04-21 14:33:43,4,closed,63302765
52OXR,Identity theft,2021-04-03 11:20:56,8,closed,00863321
Q2Z1E,Stalking,2020-10-20 23:11:01,1,closed,42495705
Xhaqu,Domestic violence,2019-09-25 10:09:42,8,closed,49985563
Me0f3,Stalking,2020-03-29 15:08:58,2,pending,02692864
yBdIr,Forgery and fraud,2020-07-25 12:47:10,3,closed,94169165
tbK68,Child abuse,2021-12-20 01:25:07,10,pending,54095465
IUrVE,Vandalism in a park,2021-10-12 09:58:08,5,pending,50012832
IGwf4,Robbery at a convenience store,2019-05-14 13:04:00,2,pending,60912490
ZODsU,Public disturbance,2019-06-25 11:45:25,1,pending,38166346
I1eLX,Shoplifting at a mall,2021-08-11 12:31:38,3,closed,26353402
dsSo4,Domestic violence,2021-12-30 17:02:21,1,pending,55867307
JD2wv,Environmental crime,2020-04-27 00:43:29,2,pending,44031998
3ft1s,Car theft,2020-05-02 12:49:38,10,pending,22796842
Jdais,Child abuse,2021-08-10 17:38:40,10,pending,41856739
G204Q,Trespassing,2020-02-05 16:55:37,8,pending,70435098
nKOMs,Arson,2021-04-12 21:06:12,8,closed,73363275
oH4Ps,Environmental crime,2020-05-05 07:12:06,5,pending,12099557
MegfQ,Robbery at a convenience store,2021-08-24 20:36:21,5,closed,08400822
RK5GT,Drug trafficking,2022-03-06 23:47:27,5,pending,61630608
M2sXO,Child abuse,2021-07-12 02:26:43,8,pending,13748550
psnIa,Stalking,2021-01-20 21:52:31,1,closed,77980966
1p2jl,Domestic violence,2020-07-24 05:15:26,9,pending,52790784
WcVJu,Car theft,2021-12-30 17:50:31,9,closed,30353886
